WeatherPy_vacation,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chuy,UY,80.06,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
6,Hilo,US,77.61,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Rocha,UY,87.64,few clouds,-34.4833,-54.3333,Hotel Arrarte
11,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
17,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
28,Kieta,PG,78.19,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
29,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
35,Acari,PE,78.67,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
40,Castro,BR,80.69,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Soyo,AO,77.72,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
43,Butaritari,KI,80.22,few clouds,3.0707,172.7902,Isles Sunset Lodge
45,Georgetown,MY,81.23,scattered clouds,5.4112,100.3354,Cititel Penang
46,Kapoeta,SS,78.17,broken clouds,4.7717,33.5903,Lokoges PHCC
47,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
50,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
61,Hithadhoo,MV,80.53,clear sky,-0.6,73.0833,Scoop Guest House
65,Jatai,BR,87.35,broken clouds,-17.8814,-51.7144,Hotel Califórnia
66,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
67,Isangel,VU,77.11,clear sky,-19.55,169.2667,Tanna Lodge
71,Caraballeda,VE,87.87,scattered clouds,10.6112,-66.8522,Ole Caribe
74,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
79,Dingle,PH,75.47,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
81,Fare,PF,77.86,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
85,Koungou,YT,80.31,broken clouds,-12.7336,45.2042,Villa Netibor
93,Formiga,BR,78.03,overcast clouds,-20.4644,-45.4264,Victor Plaza Hotel
99,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
104,Gualaquiza,EC,79.14,light rain,-3.4,-78.55,Hotel Merceditas
105,Ciudad Bolivar,VE,87.82,broken clouds,8.1222,-63.5497,Hotel Edi
108,Banda Aceh,ID,78.85,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
111,Irati,BR,85.35,scattered clouds,-25.4672,-50.6511,Pensionato Mônaco do Sul
120,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
122,Palmas,BR,89.47,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
123,Sao Raimundo Nonato,BR,84.04,light rain,-9.0153,-42.6994,Real Hotel
130,Vung Tau,VN,75.87,overcast clouds,10.346,107.0843,Seaside Resort
135,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
136,Bara,NG,80.1,scattered clouds,10.3744,10.7288,
137,Kupang,ID,77.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
143,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
148,Cacapava Do Sul,BR,86.97,overcast clouds,-30.5122,-53.4914,Hotel Portal
153,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
159,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
160,Noumea,NC,75.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
162,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,Santa Cruz Del Sur,CU,84.99,moderate rain,20.7147,-77.9956,
166,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
170,Namatanai,PG,78.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
172,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
176,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
177,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
180,Axim,GH,78.35,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
181,Kavaratti,IN,80.51,broken clouds,10.5669,72.642,Green leaf
186,Lindi,TZ,77.77,overcast clouds,-10.0,39.7167,Lindi paradise house
187,Waingapu,ID,80.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
188,Tsabong,BW,83.66,overcast clouds,-26.0217,22.401,Springbok Motel
189,Puerto Leguizamo,CO,82.11,overcast clouds,-0.1934,-74.7819,la casona de juancho
191,Padang,ID,75.92,overcast clouds,-0.9492,100.3543,Mercure Padang
197,Bobo Dioulasso,BF,84.65,overcast clouds,11.1771,-4.2979,IBA Hotel
203,Zemio,CF,75.31,overcast clouds,5.0314,25.1361,OCHA Office
207,Pasni,PK,78.03,clear sky,25.2631,63.471,Kashmiri Hotal
212,Corralillo,CU,81.88,light rain,22.9819,-80.5856,Hostal De Pedri
213,Hirara,JP,75.83,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
214,Sharjah,AE,82.69,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
216,Sao Filipe,CV,76.98,overcast clouds,14.8961,-24.4956,Hotel Xaguate
218,Samarai,PG,83.16,broken clouds,-10.6167,150.6667,Nuli Sapi
221,Auki,SB,76.51,clear sky,-8.7676,160.7034,Auki Motel
222,Luis Correia,BR,87.8,scattered clouds,-2.8792,-41.6669,Hotel Amarração
224,Kribi,CM,78.53,overcast clouds,2.95,9.9167,La Grace Hôtel
