WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,46.92,70,44,8.01,scattered clouds
1,Chuy,UY,-33.6971,-53.4616,80.06,59,65,12.82,broken clouds
2,Albany,US,42.6001,-73.9662,33.39,46,56,3.0,broken clouds
3,Nikolskoye,RU,59.7035,30.7861,24.69,97,91,4.03,overcast clouds
4,Fort Nelson,CA,58.8053,-122.7002,21.94,77,75,0.0,broken clouds
5,Tashtyp,RU,52.7939,89.8983,11.84,83,48,10.29,scattered clouds
6,Hilo,US,19.7297,-155.09,77.61,94,75,4.61,moderate rain
7,Bluff,NZ,-46.6,168.3333,58.8,87,76,7.58,broken clouds
8,Busselton,AU,-33.65,115.3333,49.73,81,0,11.52,clear sky
9,Koygorodok,RU,60.445,50.9968,11.21,94,8,3.65,clear sky
10,Rocha,UY,-34.4833,-54.3333,87.64,45,12,12.84,few clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,82.62,61,20,8.05,few clouds
12,Airai,TL,-8.9266,125.4092,61.41,92,100,2.28,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,62.8,76,1,6.78,clear sky
14,Kijang,KR,35.2442,129.2139,49.73,70,0,4.5,clear sky
15,Ushuaia,AR,-54.8,-68.3,49.66,66,75,4.61,light rain
16,Nemuro,JP,43.3236,145.575,50.4,71,100,19.84,overcast clouds
17,Kapaa,US,22.0752,-159.319,77.32,79,40,17.27,scattered clouds
18,San Calixto,CO,8.4021,-73.2074,71.04,70,65,5.14,broken clouds
19,Geraldton,AU,-28.7667,114.6,55.81,82,0,9.22,clear sky
20,Yefremov,RU,53.1481,38.0992,19.51,96,100,4.27,light snow
21,Mangan,IN,27.5167,88.5333,59.94,40,0,7.27,clear sky
22,Dmitriyevka,RU,54.75,55.3333,17.15,98,44,1.01,scattered clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,100,8.01,overcast clouds
24,Alofi,NU,-19.0595,-169.9187,75.09,94,47,9.22,scattered clouds
25,Yellowknife,CA,62.456,-114.3525,25.32,80,75,11.5,broken clouds
26,Cidreira,BR,-30.1811,-50.2056,73.17,74,100,20.96,overcast clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,100,100,12.66,overcast clouds
28,Kieta,PG,-6.2167,155.6333,78.19,82,48,2.44,scattered clouds
29,Balikpapan,ID,-1.2675,116.8289,77.99,94,75,0.0,moderate rain
30,Vila,PT,42.0304,-8.1588,50.88,95,100,6.24,light rain
31,Barrow,US,71.2906,-156.7887,24.82,74,100,14.97,overcast clouds
32,Fairbanks,US,64.8378,-147.7164,18.61,87,0,0.0,clear sky
33,Sitka,US,57.0531,-135.33,48.09,71,100,8.05,overcast clouds
34,Pevek,RU,69.7008,170.3133,-23.44,96,100,10.63,overcast clouds
35,Acari,PE,-15.4311,-74.6158,78.67,46,98,12.01,overcast clouds
36,Bonavista,CA,48.6499,-53.1147,37.11,70,79,19.71,broken clouds
37,Nuuk,GL,64.1835,-51.7216,22.87,85,100,8.99,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,53.71,50,40,32.21,scattered clouds
39,Karaton,ID,-6.3424,106.1045,72.97,92,72,5.26,broken clouds
40,Castro,BR,-24.7911,-50.0119,80.69,38,75,1.1,broken clouds
41,Soyo,AO,-6.1349,12.3689,77.72,83,12,7.0,few clouds
42,Jamestown,US,42.097,-79.2353,22.71,76,100,14.97,fog
43,Butaritari,KI,3.0707,172.7902,80.22,80,15,12.5,few clouds
44,Tiksi,RU,71.6872,128.8694,-13.09,100,96,3.47,overcast clouds
45,Georgetown,MY,5.4112,100.3354,81.23,90,40,3.44,scattered clouds
46,Kapoeta,SS,4.7717,33.5903,78.17,60,54,4.85,broken clouds
47,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,20.71,few clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,64.42,94,100,14.97,moderate rain
49,Orbetello,IT,42.4408,11.2196,48.22,66,0,4.85,clear sky
50,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,38,10.69,scattered clouds
51,Bengkulu,ID,-3.8004,102.2655,74.19,90,98,5.06,overcast clouds
52,Muzhi,RU,65.3667,64.6667,19.35,92,100,13.06,light snow
53,Breyten,ZA,-26.3018,29.987,56.53,60,0,9.24,clear sky
54,Exeter,GB,50.7236,-3.5275,48.85,87,20,1.14,few clouds
